City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,kodiak,57.79,-152.4072,0.73,64,0,1.54,US,2023-04-03
309,estelle,29.8458,-90.1067,24.44,90,100,5.14,US,2023-04-03
310,scottsbluff,41.8666,-103.6672,6.27,64,100,4.12,US,2023-04-03
311,santiago del estero,-27.7951,-64.2615,22.03,80,100,0.3,AR,2023-04-03
312,tulum,20.2167,-87.4667,24.06,81,0,3.17,MX,2023-04-03
313,kodinsk,58.6881,99.1844,-2.38,78,100,5.18,RU,2023-04-03
314,urumqi,43.801,87.6005,1.53,14,40,6.0,CN,2023-04-03
315,pevek,69.7008,170.3133,-28.67,100,16,1.02,RU,2023-04-03
316,asau,46.4333,26.4,7.51,91,100,1.3,RO,2023-04-03
317,rio gallegos,-51.6226,-69.2181,8.43,65,6,4.91,AR,2023-04-03
318,salinas,36.6777,-121.6555,10.04,75,75,6.17,US,2023-04-03
319,talnakh,69.4865,88.3972,-18.22,88,100,4.91,RU,2023-04-03
320,vossevangen,60.623,6.4229,4.19,75,100,0.35,NO,2023-04-03
321,trelew,-43.249,-65.3051,12.56,83,0,4.72,AR,2023-04-03
322,yar-sale,66.8333,70.8333,-15.35,88,24,7.71,RU,2023-04-03
323,tilichiki,60.4667,166.1,-3.0,94,100,1.28,RU,2023-04-03
324,stokmarknes,68.5646,14.9108,0.99,80,75,9.77,NO,2023-04-03
325,strezhevoy,60.7333,77.5889,2.17,93,93,4.82,RU,2023-04-03
326,broken hill,-31.95,141.4333,22.38,20,99,1.89,AU,2023-04-03
327,yelahanka,13.1075,77.6003,32.1,38,40,3.09,IN,2023-04-03
328,kasangulu,-4.5911,15.1708,26.49,87,53,1.11,CD,2023-04-03
329,luderitz,-26.6481,15.1594,18.44,62,0,6.51,NA,2023-04-03
330,pavlodar,52.3,76.95,7.89,17,0,3.0,KZ,2023-04-03
331,callaway,30.153,-85.5699,20.51,86,100,2.06,US,2023-04-03
332,pacific grove,36.6177,-121.9166,9.81,78,75,6.17,US,2023-04-03
333,portland,45.5234,-122.6762,3.6,93,100,1.79,US,2023-04-03
334,sistranda,63.7256,8.834,3.98,77,100,8.3,NO,2023-04-03
335,galesong,-5.3166,119.3661,30.01,75,90,4.64,ID,2023-04-03
336,weinan,34.5036,109.5089,8.23,88,100,5.16,CN,2023-04-03
337,lompoc,34.6391,-120.4579,11.4,78,100,11.18,US,2023-04-03
338,bira,49.0,132.4667,15.58,38,100,2.31,RU,2023-04-03
339,bestobe,52.4994,73.0975,11.03,20,5,4.2,KZ,2023-04-03
340,lakes entrance,-37.8811,147.981,19.53,73,54,3.26,AU,2023-04-03
341,mhasla,18.1333,73.1167,31.78,39,3,3.84,IN,2023-04-03
342,abu samrah,35.3029,37.1841,16.9,51,7,0.92,SY,2023-04-03
343,ambad,19.6167,75.8,33.78,17,0,2.24,IN,2023-04-03
344,copala,16.65,-98.9833,24.62,68,21,1.51,MX,2023-04-03
345,oktyabrskoye,43.0645,44.7417,13.08,41,75,3.0,RU,2023-04-03
346,jipapad,12.2861,125.2353,28.93,64,90,2.77,PH,2023-04-03
347,alihe,50.5667,123.7167,3.0,39,100,6.16,CN,2023-04-03
